Company,Tidsstempel,Which age group do you belong to?,How long have you worked with your current team?,What's your gender?,Which of the following describes your area of work the best?,What role do you take in the Scrum team?,Does your job involve leadership responsibilities within your team?,Which statement about your team’s application of Scrum do you feel fit your team the best?,My team shares a common understanding of why we use Scrum,My team shares a common understanding of why we adopted Scrum,"Does your company use Stand Up Meetings (frequent short meetings, intended to improve collaboration and cooperation)?",I feel personally motivated in my work by doing Daily Stand Ups,The daily stand up supports and empowers my team’s work process,I don’t understand why my company has chosen to do daily stand ups,Does your team use Sprints (a time-boxed collection of work during which a potentially releasable product Increment is created)?,"The Sprint structure allows us to deliver our work frequently (to a client, customer, a co-worker etc.)",The sprint structure motivates me in my work,The Sprint structure supports and empowers my team’s work process,I understand why my company has chosen to use Sprints,Does your company use Sprint Planning (a meeting wherein your team plans the work you will do in the upcoming sprint)?,"In our Sprint planning, my team produces our own Sprint Plan, that we take ownership over","In our Sprint planning, my team organizes our work in the way we think is best","Does your company use Sprint Reviews (a meeting at the end of the sprint, wherein your team reviews the work you did during the sprint)?",Sprint reviews help me reflect on the work we do,I don’t understand why my company has chosen to use Sprint Reviews,Does your company use Sprint Retrospectives (a meeting at the end of a Sprint wherein your team reviews the processes and tools used to conduct the Sprint)? ,Sprint retrospectives help me reflect on the way we work,I don’t understand why my company has chosen to use Sprint Retrospectives,Using Scrum has made me more open and honest with my teammates/co-workers,I actively put in effort to support our Scrum practices,Using Scrum has made made it easier to react constructively to changes in our work,Using Scrum has increased my feelings of ownership and responsibility over the work we do,Using Scrum has helped my understanding the business needs of my company,Our implementation of Scrum creates an un-sustainable work process that wears me out,Our primary measure of progress is the work we complete in our Sprints,Our implementation of Scrum has given me more confidence in suggesting changes to our work processes,Our implementation of Scrum has made me less open to try new things,Score
Danske Bank-T1,27/11/2020,46-55,Less than 1 year,Male,Business,Team Member,No,"We are inspired by Scrum, but have created our own version with major changes",Disagree,Neutral,"Yes, every day",Neutral,Disagree,Agree,Yes,Neutral,Disagree,Neutral,Disagree,Yes,Neutral,Disagree,Yes,Strongly Disagree,Agree,Yes,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,38
Danske Bank-T1,27/11/2020,46-55,Less than 1 year,Male,Development,Team Member,"Yes, for parts of the team","We work loosely based on the Scrum Guide, picking and choosing the parts that fit us",Agree,Agree,"Yes, every day",Agree,Agree,Strongly Disagree,Yes,Agree,Neutral,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Disagree,Yes,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,29
Danske Bank-T1,27/11/2020,26-35,Less than 1 year,Male,Development,Team Member,No,"We work loosely based on the Scrum Guide, picking and choosing the parts that fit us",Agree,Agree,"Yes, every day",Agree,Strongly Agree,Disagree,Yes,Agree,Strongly Agree,Agree,Agree,Yes,Agree,Agree,Yes,Disagree,Disagree,Yes,Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Disagree,28
Danske Bank-T1,27/11/2020,36-45,Less than 1 year,Male,Business,Product Owner,"Yes, for the entire team","We work loosely based on the Scrum Guide, picking and choosing the parts that fit us",Strongly Agree,Strongly Agree,"Yes, every day",Strongly Agree,Agree,Strongly Disagree,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Yes,Agree,Strongly Disagree,Yes,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,20
Danske Bank-T1,27/11/2020,26-35,Less than 1 year,Male,Development,Team Member,No,"We work loosely based on the Scrum Guide, picking and choosing the parts that fit us",Agree,Agree,"Yes, every day",Agree,Agree,Strongly Disagree,Yes,Agree,Strongly Agree,Agree,Agree,Yes,Agree,Agree,Yes,Disagree,Disagree,Yes,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,-5
Danske Bank-T1,27/11/2020,18-25,Less than 1 year,Female,Business,Team Member,No,"We work loosely based on the Scrum Guide, picking and choosing the parts that fit us",Agree,Agree,"Yes, every day",Neutral,Strongly Agree,Disagree,Yes,Agree,Agree,Neutral,Neutral,Yes,Agree,Agree,Yes,Disagree,Strongly Disagree,Yes,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Neutral,-6
Danske Bank-T2,27/11/2020,36-45,Less than 1 year,Male,Business,Product Owner,"Yes, for the entire team","We are inspired by Scrum, but have created our own version with major changes",Agree,Agree,"Yes, sometimes",Neutral,Agree,Disagree,Yes,Agree,Neutral,Agree,Strongly Agree,Yes,Agree,Neutral,Yes,Neutral,Strongly Disagree,Yes,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,38
Danske Bank-T2,27/11/2020,26-35,1-2 years,Male,Business,Team Member,No,"We are inspired by Scrum, but have created our own version with major changes",Neutral,Neutral,"Yes, sometimes",Neutral,Neutral,Neutral,Yes,Agree,Disagree,Disagree,Agree,Yes,Neutral,Agree,Yes,Neutral,Neutral,Yes,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,24
Danske Bank-T2,27/11/2020,18-25,1-2 years,Female,Development,Team Member,No,"We work loosely based on the Scrum Guide, picking and choosing the parts that fit us",Agree,Agree,"Yes, sometimes",Disagree,Neutral,Agree,Yes,Strongly Disagree,Strongly Disagree,Disagree,Agree,Yes,Disagree,Disagree,Yes,Disagree,Disagree,Yes,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,15
Danske Bank-T2,27/11/2020,18-25,1-2 years,Male,Development,Team Member,No,"We are inspired by Scrum, but have created our own version with major changes",Agree,Agree,"Yes, sometimes",Neutral,Agree,Agree,Yes,Neutral,Disagree,Agree,Agree,Yes,Disagree,Disagree,Yes,Disagree,Disagree,Yes,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Disagree,Agree,Disagree,1
